name	zipCode
Brussel 	1000
Bruxelles 	1000
Brussel 	1020
Bruxelles 	1020
Brussel 	1030
Bruxelles 	1030
Saint-Josse-ten-Noode 	1030
Schaarbeek 	1030
Schaerbeek 	1030
Sint-Joost-ten-Node 	1030
Brussel 	1040
Bruxelles 	1040
Etterbeek 	1040
Brussel 	1050
Bruxelles 	1050
Elsene 	1050
Ixelles 	1050
Brussel 	1060
Bruxelles 	1060
Saint-Gilles 	1060
Sint-Gillis 	1060
Anderlecht 	1070
Brussel 	1070
Bruxelles 	1070
Berchem-Sainte-Agathe 	1080
Brussel 	1080
Bruxelles 	1080
Ganshoren 	1080
Koekelberg 	1080
Molenbeek-Saint-Jean 	1080
Sint-Agatha-Berchem 	1080
Sint-Jans-Molenbeek 	1080
Brussel 	1090
Bruxelles 	1090
Jette 	1090
Brussel 	1120
Bruxelles 	1120
Brussel 	1130
Bruxelles 	1130
Brussel 	1140
Bruxelles 	1140
Evere 	1140
Brussel 	1150
Bruxelles 	1150
Sint-Pieters-Woluwe 	1150
Woluwe-Saint-Pierre 	1150
Auderghem 	1160
Brussel 	1160
Bruxelles 	1160
Oudergem 	1160
Brussel 	1170
Bruxelles 	1170
Watermaal-Bosvoorde 	1170
Watermael-Boitsfort 	1170
Brussel 	1180
Bruxelles 	1180
Uccle 	1180
Ukkel 	1180
Brussel 	1190
Bruxelles 	1190
Forest 	1190
Vorst 	1190
Brussel 	1200
Bruxelles 	1200
Sint-Lambrechts-Woluwe 	1200
Woluwe-Saint-Lambert 	1200
Brussel 	1210
Bruxelles 	1210
Limal 	1300
Wavre 	1300
Bierges 	1301
La Hulpe 	1310
Glimes 	1315
Incourt 	1315
Opprebais 	1315
Pietrebais 	1315
Roux-Miroir 	1315
Beauvechain 	1320
Hamme-Mille 	1320
L'Ecluse 	1320
Nodebais 	1320
Tourinnes-la-Grosse 	1320
Bonlez 	1325
Chaumont-Gistoux 	1325
Corroy-le-Grand 	1325
Dion-Valmont 	1325
Longueville 	1325
Rixensart 	1330
Rosieres 	1331
Genval 	1332
Ottignies 	1340
