name	bundesland_name
Bad Wimpfen 	Baden-Württemberg
Bad Windsheim 	Bayern
Bad Wörishofen 	Bayern
Bad Wünnenberg 	Nordrh.-Westf.
Bad Wurzach 	Baden-Württemberg
Baesweiler 	Nordrhein-Westfalen
Baiersdorf 	Bayern
Balingen 	Baden-Württemberg
Ballenstedt 	Sachsen-Anhalt
Balve 	Nordrhein-Westfalen
Bamberg 	Bayern
Barby (Elbe) 	Sachsen-Anhalt
Bargteheide 	Schleswig-Holstein
Barmstedt 	Schleswig-Holstein
Bärnau 	Bayern
Barntrup 	Nordrhein-Westfalen
Barsinghausen 	Niedersachsen
Barth 	Mecklenburg-Vorpommern
Baruth/Mark 	Brandenburg
Bassum 	Niedersachsen
Battenberg (Eder) 	Hessen
Baumholder 	Rheinland-Pfalz
Baunach 	Bayern
Baunatal 	Hessen
Bautzen 	Sachsen
Bayreuth 	Bayern
Bebra 	Hessen
Beckum 	Nordrhein-Westfalen
Bedburg 	Nordrhein-Westfalen
Beelitz 	Brandenburg
Beerfelden 	Hessen
Beeskow 	Brandenburg
Beilngries 	Bayern
Beilstein 	Baden-Württemberg
Belgern 	Sachsen
Belzig 	Brandenburg
Bendorf 	Rheinland-Pfalz
Benneckenstein (Harz) 	Sachsen-Anhalt
Bensheim 	Hessen
Berching 	Bayern
Berga/Elster 	Thüringen
Bergen 	Niedersachsen
Bergen auf Rügen 	Mecklenburg-Vorp.
Bergheim 	Nordrhein-Wedtfalen
Bergisch Gladbach 	Nordrhein-Westf.
Bergkamen 	Nordrhein-Westfalen
Bergneustadt 	Nordrhein-Westfalen
Berka/Werra 	Thüringen
Berlin 	Land Berlin / Bundeshauptstadt
Bernau bei Berlin 	Brandenburg
Bernburg (Saale) 	Sachsen-Anhalt
Bernkastel-Kues 	Rheinland-Pfalz
Bernsdorf 	Sachsen
Bernstadt a. d. Eigen 	Sachsen
Bersenbrück 	Niedersachsen
Besigheim 	Baden-Württemberg
Betzdorf 	Rheinland-Pfalz
Betzenstein 	Bayern
Beverungen 	Nordrhein-Westfalen
Bexbach 	Saarland
Biberach an der Riß 	Baden-Württ.
Biedenkopf 	Hessen
Bielefeld 	Nordrhein-Westfalen
Biesenthal 	Brandenburg
Bietigheim-Bissingen 	Baden-Württ.
Billerbeck 	Nordrhein-Westfalen
Bingen am Rhein 	Rheinland-Pfalz
Birkenfeld 	Rheinland-Pfalz
Bischofsheim an der Rhön 	Bayern
Bischofswerda 	Sachsen
Bismark (Altmark) 	Sachsen-Anhalt
Bitburg 	Rheinland-Pfalz
Bitterfeld 	Sachsen-Anhalt
Blankenburg (Harz) 	Sachsen-Anhalt
Blankenhain 	Thüringen
Blaubeuren 	Baden-Württemberg
Bleckede 	Niedersachsen
Bleicherode 	Thüringen
Blieskastel 	Saarland
Blomberg 	Nordrhein-Westfalen
Blumberg 	Baden-Württemberg
Bobingen 	Bayern
Böblingen 	Baden-Württemberg
Bocholt 	Nordrhein-Westfalen
Bochum 	Nordrhein-Westfalen
Bockenem 	Niedersachsen
Bodenwerder 	Niedersachsen
Bogen 	Bayern
Böhlen 	Sachsen
Boizenburg/ Elbe 	Mecklenburg-Vorp.
Bonn 	Nordrhein-Westfalen
Bonndorf im Schwarzwald 	Baden-W.
Bönnigheim 	Baden-Württemberg
Bopfingen 	Baden-Württemberg
Boppard 	Rheinland-Pfalz
Borgentreich 	Nordrhein-Westfalen
Borgholzhausen 	Nordrhein-Westfalen
Borken 	Nordrhein-Westfalen
Borken (Hessen) 	Hessen
Borkum 	Niedersachsen
Borna 	Sachsen
Bornheim 	Nordrhein-Westfalen
Bottrop 	Nordrhein-Westfalen
Boxberg 	Baden-Württemberg
Brackenheim 	Baden-Württemberg
Brake (Unterweser) 	Niedersachsen
Brakel 	Nordrhein-Westfalen
Bramsche 	Niedersachsen
Brandenburg an der Havel 	Brandenb.
Brand-Erbisdorf 	Sachsen
Brandis 	Sachsen
Braubach 	Rheinland-Pfalz
Braunfels 	Hessen
Braunlage 	Niedersachsen
Bräunlingen 	Baden-Württemberg
Braunsbedra 	Sachsen-Anhalt
Braunschweig 	Niedersachsen
Breckerfeld 	Nordrhein-Westfalen
Bredstedt 	Schleswig-Holstein
Brehna 	Sachsen-Anhalt
Breisach am Rhein 	Baden-Württemb.
Bremen 	Land Bremen / Hansestadt
Bremerhaven 	Land Bremen
Bremervörde 	Niedersachsen
Bretten 	Baden-Württemberg
Breuberg 	Hessen
Brilon 	Nordrhein-Westfalen
Brotterode 	Thüringen
Bruchköbel 	Hessen
Bruchsal 	Baden-Württemberg
Brück 	Brandenburg
Brüel 	Mecklenburg-Vorpommern
Brühl 	Nordrhein-Westfalen
Brunsbüttel 	Schleswig-Holstein
Brüssow 	Brandenburg
Buchen (Odenwald) 	Baden-Württ.
Buchholz in der Nordheide 	Nieders.
Buchloe 	Bayern
Bückeburg 	Niedersachsen
Buckow 	Brandenburg
Büdelsdorf 	Schleswig-Holstein
Büdingen 	Hessen
Bühl 	Baden-Württemberg
Bünde 	Nordrhein-Westfalen
Büren 	Nordrhein-Westfalen
Burg 	Sachsen-Anhalt
Burgau 	Bayern
Burgbernheim 	Bayern
Burgdorf 	Niedersachsen
Bürgel 	Thüringen
Burghausen 	Bayern
Burgkunstadt 	Bayern
Burglengenfeld 	Bayern
Burgstädt 	Sachsen
Burg Stargard 	Mecklenburg-Vorp.
Burgwedel 	Niedersachsen
Burladingen 	Baden-Württemberg
Burscheid 	Nordrhein-Westfalen
Bürstadt 	Hessen
Buttelstedt 	Thüringen
Buttstädt 	Thüringen
Butzbach 	Hessen
Bützow 	Mecklenburg-Vorpommern
Buxtehude 	Niedersachsen
Calau 	Brandenburg
Calbe (Saale) 	Sachsen-Anhalt
Calw 	Baden-Württemberg
Camburg 	Thüringen
Castrop-Rauxel 	Nordrhein-Westfalen
Celle 	Niedersachsen
Cham 	Bayern
Chemnitz 	Sachsen
Clausthal-Zellerfeld 	Nieders.
Clingen 	Thüringen
Cloppenburg 	Niedersachsen
Coburg 	Bayern
Cochem 	Rheinland-Pfalz
Coesfeld 	Nordrhein-Westfalen
Colditz 	Sachsen
Coswig 	Sachsen
Coswig (Anhalt) 	Sachsen-Anhalt
Cottbus 	Brandenburg
Crailsheim 	Baden-Württemberg
Creglingen 	Baden-Württemberg
Creußen 	Bayern
Creuzburg 	Thüringen
Crimmitschau 	Sachsen
Crivitz 	Mecklenburg-Vorpommern
Cuxhaven 	Niedersachsen
Dachau 	Bayern
Dahlen 	Sachsen
Dahme/Mark 	Brandenburg
Dahn 	Rheinland-Pfalz
Damme 	Niedersachsen
Dannenberg (Elbe) 	Niedersachsen
Dargun 	Mecklenburg-Vorpommern
Darmstadt 	Hessen
Dassel 	Niedersachsen
Dassow 	Mecklenburg-Vorpommern
Datteln 	Nordrhein-Westfalen
Daun 	Rheinland-Pfalz
Deggendorf 	Bayern
Deidesheim 	Rheinland-Pfalz
Delbrück 	Nordrhein-Westfalen
Delitzsch 	Sachsen
Delmenhorst 	Niedersachsen
Demmin 	Mecklenburg-Vorpommern
Derenburg 	Sachsen-Anhalt
Dessau 	Sachsen-Anhalt
Detmold 	Nordrhein-Westfalen
Dettelbach 	Bayern
Dieburg 	Hessen
Diemelstadt 	Hessen
Diepholz 	Niedersachsen
Dierdorf 	Rheinland-Pfalz
Dietenheim 	Baden-Württemberg
Dietfurt an der Altmühl 	Bayern
Dietzenbach 	Hessen
Diez 	Rheinland-Pfalz
Dillenburg 	Hessen
Dillingen an der Donau 	Bayern
Dillingen/ Saar 	Saarland
Dingelstädt 	Thüringen
Dingolfing 	Bayern
Dinkelsbühl 	Bayern
Dinklage 	Niedersachsen
Dinslaken 	Nordrhein-Westfalen
Dippoldiswalde 	Sachsen
Dissen am Teutoburger Wald 	Nieders.
Ditzingen 	Baden-Württemberg
Döbeln 	Sachsen
Doberlug-Kirchhain 	Brandenburg
Döbern 	Brandenburg
Dohna 	Sachsen
Dömitz 	Mecklenburg-Vorpommern
Dommitzsch 	Sachsen
Donaueschingen 	Baden-Württemberg
Donauwörth 	Bayern
Donzdorf 	Baden-Württemberg
Dorfen 	Bayern
Dormagen 	Nordrhein-Westfalen
Dornburg/Saale 	Thüringen
Dornhan 	Baden-Württemberg
Dornstetten 	Baden-Württemberg
Dorsten 	Nordrhein-Westfalen
Dortmund 	Nordrhein-Westfalen
Dransfeld 	Niedersachsen
Drebkau 	Brandenburg
Dreieich 	Hessen
Drensteinfurt 	Nordrhein-Westfalen
Dresden 	Landeshauptstadt von Sachsen
Drolshagen 	Nordrhein-Westfalen
Duderstadt 	Niedersachsen
Duisburg 	Nordrhein-Westfalen
Dülmen 	Nordrhein-Westfalen
Düren 	Nordrhein-Westfalen
Düsseldorf 	Landeshauptstadt von NRW
Ebeleben 	Thüringen
Eberbach Baden-Württemberg)
Ebermannstadt 	Bayern
Ebern 	Bayern
Ebersbach an der Fils 	Baden-Württ.
Ebersbach/Sa. 	Sachsen
Ebersberg 	Bayern
Eberswalde 	Brandenburg
Eckartsberga 	Sachsen-Anhalt
Eckernförde 	Schleswig-Holstein
Edenkoben 	Rheinland-Pfalz
Egeln 	Sachsen-Anhalt
Eggenfelden 	Bayern
Eggesin 	Mecklenburg-Vorpommern
Ehingen (Donau) 	Baden-Württemberg
Ehrenfriedersdorf 	Sachsen
Eibelstadt 	Bayern
Eibenstock 	Sachsen
Eichstätt 	Bayern
Eilenburg 	Sachsen
Einbeck 	Niedersachsen
Eisenach 	Thüringen
Eisenberg 	Thüringen
Eisenberg (Pfalz) 	Rheinland-Pfalz
Eisenhüttenstadt 	Brandenburg
Eisfeld 	Thüringen
Eisleben 	Sachsen-Anhalt
Eislingen/Fils 	Baden-Württemberg
Elbingerode (Harz) 	Sachsen-Anhalt
Ellingen 	Bayern
Ellrich 	Thüringen
Ellwangen (Jagst) 	Baden-Württemberg
Elmshorn 	Schleswig-Holstein
Elsfleth 	Niedersachsen
Elsterberg 	Sachsen
Elsterwerda 	Brandenburg
Elstra 	Sachsen
Elterlein 	Sachsen
Eltmann 	Bayern
Eltville am Rhein 	Hessen
Elzach 	Baden-Württemberg
Elze 	Niedersachsen
Emden 	Niedersachsen
Emmendingen 	Baden-Württemberg
Emmerich am Rhein 	Nordrhein-Westf.
Emsdetten 	Nordrhein-Westfalen
Endingen am Kaiserstuhl 	Baden-Württ.
Engen 	Baden-Württemberg
Enger 	Nordrhein-Westfalen
Ennepetal 	Nordrhein-Westfalen
Ennigerloh 	Nordrhein-Westfalen
Eppelheim 	Baden-Württemberg
Eppingen 	Baden-Württemberg
Eppstein 	Hessen
Erbach 	Baden-Württemberg
Erbach (Odenwald) 	Hessen
Erbendorf 	Bayern
Erding 	Bayern
Erftstadt 	Nordrhein-Westfalen
Erfurt 	Landeshauptstadt von Thüringen
Erkelenz 	Nordrhein-Westfalen
Erkner 	Brandenburg
Erkrath 	Nordrhein-Westfalen
Erlangen 	Bayern
Erlenbach am Main 	Bayern
Erwitte 	Nordrhein-Westfalen
Eschborn 	Hessen
Eschenbach in der Oberpfalz 	Bayern
Eschershausen 	Niedersachsen
Eschwege 	Hessen
Eschweiler 	Nordrhein-Westfalen
Esens 	Niedersachsen
Espelkamp 	Nordrhein-Westfalen
Essen 	Nordrhein-Westfalen
Esslingen am Neckar 	Baden-Württ.
Ettenheim 	Baden-Württemberg
Ettlingen 	Baden-Württemberg
Euskirchen 	Nordrhein-Westfalen
Eutin 	Schleswig-Holstein
Falkenberg/Elster 	Brandenburg
Falkensee 	Brandenburg
Falkenstein/Harz 	Sachsen-Anhalt
Falkenstein/Vogtl. 	Sachsen
Fehmarn 	Schleswig-Holstein
Fellbach 	Baden-Württemberg
Felsberg 	Hessen)
Feuchtwangen 	Bayern
Filderstadt 	Baden-Württemberg
Finsterwalde 	Brandenburg
Fladungen 	Bayern
Flensburg 	Schleswig-Holstein
Flöha 	Sachsen
Flörsheim am Main 	Hessen
Forchheim 	Bayern
Forchtenberg 	Baden-Württemberg
Forst (Lausitz) 	Brandenburg
Frankenau 	Hessen
Frankenberg (Eder) 	Hessen
Frankenberg/Sa. 	Sachsen
Frankenthal (Pfalz) 	Rheinland-Pfalz
Frankfurt am Main 	Hessen
Frankfurt (Oder) 	Brandenburg
Franzburg 	Mecklenburg-Vorpommern
Frauenstein 	Sachsen
Frechen 	Nordrhein-Westfalen
Freiberg am Neckar 	Baden-Württemb.
Freiberg 	Sachsen
Freiburg im Breisgau 	Baden-Württemb.
Freilassing 	Bayern
Freinsheim 	Rheinland-Pfalz
Freising 	Bayern
Freital 	Sachsen
Freren 	Niedersachsen
Freudenberg 	Baden-Württemberg
Freudenberg 	Nordrhein-Westfalen
Freudenstadt 	Baden-Württemberg
Freyburg (Unstrut) 	Sachsen-Anhalt
Freystadt 	Bayern
Freyung 	Bayern
Fridingen an der Donau 	Baden-Württ.
Friedberg 	Bayern
Friedberg (Hessen) 	Hessen
Friedland 	Mecklenburg-Vorpommern
Friedland 	Brandenburg
Friedrichroda 	Thüringen
Friedrichsdorf 	Hessen
Friedrichshafen 	Baden-Württemberg
Friedrichstadt 	Schleswig-Holstein
Friedrichsthal 	Saarland
Friesack 	Brandenburg
Friesoythe 	Niedersachsen
Fritzlar 	Hessen
Frohburg 	Sachsen
Fröndenberg/Ruhr 	Nordrhein-Westfalen
Fulda 	Hessen
Fürstenau 	Niedersachsen
Fürstenberg/Havel 	Brandenburg
Fürstenfeldbruck 	Bayern
Fürstenwalde/Spree 	Brandenburg
Fürth 	Bayern
Furth im Wald 	Bayern
Furtwangen im Schwarzwald 	Baden-W.
Füssen 	Bayern
Gadebusch 	Mecklenburg-Vorpommern
Gaggenau 	Baden-Württemberg
Gaildorf 	Baden-Württemberg
Gammertingen 	Baden-Württemberg
Garbsen 	Niedersachsen
Garching bei München 	Bayern
Gardelegen 	Sachsen-Anhalt
Garding 	Schleswig-Holstein
Gartz (Oder) 	Brandenburg
Garz/Rügen 	Mecklenburg-Vorpomm.
Gau-Algesheim 	Rheinland-Pfalz
Gebesee 	Thüringen
Gedern 	Hessen
Geesthacht 	Schleswig-Holstein
Gefell 	Thüringen
Gefrees 	Bayern
Gehrden 	Niedersachsen
Gehren 	Thüringen
Geilenkirchen 	Nordrhein-Westfalen
Geisa 	Thüringen
Geiselhöring 	Bayern
Geisenfeld 	Bayern
Geisenheim 	Hessen
Geising 	Sachsen
Geisingen 	Baden-Württemberg
Geislingen 	Baden-Württemberg
Geislingen an der Steige 	Baden-Württ.
Geithain 	Sachsen
Geldern 	Nordrhein-Westfalen
Gelnhausen 	Hessen
Gelsenkirchen 	Nordrhein-Westfalen
Gemünden am Main 	Bayern
Gemünden (Wohra) 	Hessen
Gengenbach 	Baden-Württemberg
Genthin 	Sachsen-Anhalt
Georgsmarienhütte 	Niedersachsen
Gera 	Thüringen
Gerabronn 	Baden-Württemberg
Gerbstedt 	Sachsen-Anhalt
Geretsried 	Bayern
Geringswalde 	Sachsen
Gerlingen 	Baden-Württemberg
Germering 	Bayern
Germersheim 	Rheinland-Pfalz
Gernrode 	Sachsen-Anhalt
Gernsbach 	Baden-Württemberg
Gernsheim 	Hessen
Gerolstein 	Rheinland-Pfalz
Gerolzhofen 	Bayern
Gersfeld (Rhön) 	Hessen
Gersthofen 	Bayern
Gescher 	Nordrhein-Westfalen
Geseke 	Nordrhein-Westfalen
Gevelsberg 	Nordrhein-Westfalen
Geyer 	Sachsen
Giengen an der Brenz 	Baden-Württ.
Gießen 	Hessen
Gifhorn 	Niedersachsen
Gladbeck 	Nordrhein-Westfalen
Gladenbach 	Hessen
Glashütte 	Sachsen
Glauchau 	Sachsen
Glinde 	Schleswig-Holstein
Glücksburg (Ostsee) 	Schleswig-Holst.
Glückstadt 	Schleswig-Holstein
Gnoien 	Mecklenburg-Vorpommern
Goch 	Nordrhein-Westfalen
Goldberg 	Mecklenburg-Vorpommern
Goldkronach 	Bayern
Golßen 	Brandenburg
Gommern 	Sachsen-Anhalt
Göppingen 	Baden-Württemberg
Görlitz 	Sachsen
Goslar 	Niedersachsen
Gößnitz 	Thüringen
Gotha 	Thüringen
Göttingen 	Niedersachsen
Grabow 	Mecklenburg-Vorpommern
Grafenau 	Bayern
Gräfenberg 	Bayern
Gräfenhainichen 	Sachsen-Anhalt
Gräfenthal 	Thüringen
Grafenwöhr 	Bayern
Grafing bei München 	Bayern
Gransee 	Brandenburg
Grebenau 	Hessen
Grebenstein 	Hessen
Greding 	Bayern)
Greifswald 	Meckl.-Vorp. / Hansestadt
Greiz Thüringen)
Greußen 	Thüringen
Greven 	Nordrhein-Westfalen
Grevenbroich 	Nordrhein-Westfalen
Grevesmühlen 	Mecklenburg-Vorp.
Griesheim 	Hessen
Grimma 	Sachsen
Grimmen 	Mecklenburg-Vorpommern
Gröbzig 	Sachsen-Anhalt
Gröditz 	Sachsen
Groitzsch 	Sachsen
Gronau (Leine) 	Niedersachsen
Gronau (Westf.) 	Nordrhein-Westfalen
Gröningen 	Sachsen-Anhalt
Großalmerode 	Hessen
Groß-Bieberau 	Hessen
Großbottwar 	Baden-Württemberg
Großbreitenbach 	Thüringen
Großenehrich 	Thüringen
Großenhain 	Sachsen
Groß-Gerau 	Hessen
Großräschen 	Brandenburg
Großröhrsdorf 	Sachsen
Großschirma 	Sachsen
Groß-Umstadt 	Hessen
Grünberg 	Hessen
Grünhain-Beierfeld 	Sachsen
Grünsfeld 	Baden-Württemberg
Grünstadt 	Rheinland-Pfalz
Guben 	Brandenburg
Gudensberg 	Hessen
Güglingen 	Baden-Württemberg
Gummersbach 	Nordrhein-Westfalen
Gundelfingen an der Donau 	Bayern
Gundelsheim 	Baden-Württemberg
Güntersberge 	Sachsen-Anhalt
Günzburg 	Bayern
Gunzenhausen 	Bayern
Güsten 	Sachsen-Anhalt
Güstrow 	Mecklenburg-Vorpommern
Gütersloh 	Nordrhein-Westfalen
Gützkow 	Mecklenburg-Vorpommern
Haan 	Nordrhein-Westfalen
Hachenburg 	Rheinland-Pfalz
Hadamar 	Hessen
Hadmersleben 	Sachsen-Anhalt
Hagen 	Nordrhein-Westfalen
Hagenow 	Mecklenburg-Vorpommern
Haiger 	Hessen
Haigerloch 	Baden-Württemberg
Hainichen 	Sachsen
Haiterbach 	Baden-Württemberg
Halberstadt 	Sachsen-Anhalt
Haldensleben 	Sachsen-Anhalt
Halle (Saale) 	Sachsen-Anhalt
Halle (Westf.) 	Nordrhein-Westfalen
Hallenberg 	Nordrhein-Westfalen
Hallstadt 	Bayern
Haltern am See 	Nordrhein-Westfalen
Halver 	Nordrhein-Westfalen
Hamburg 	Freie und Hansestadt
Hameln 	Niedersachsen
Hamm 	Nordrhein-Westfalen
Hammelburg 	Bayern
Hamminkeln 	Nordrhein-Westfalen
Hanau 	Hessen
Hannover 	Landeshauptst. von Nieders.
Hann. Münden 	Niedersachsen
Harburg (Schwaben) 	Bayern
Hardegsen 	Niedersachsen
Haren (Ems) 	Niedersachsen
Harsewinkel 	Nordrhein-Westfalen
Hartenstein 	Sachsen
Hartha 	Sachsen
Harzgerode 	Sachsen-Anhalt
Haselünne 	Niedersachsen
Haslach im Kinzigtal 	Baden-Württ.
Hasselfelde 	Sachsen-Anhalt
Haßfurt 	Bayern
Hattersheim am Main 	Hessen
Hattingen 	Nordrhein-Westfalen
Hatzfeld (Eder) 	Hessen
Hausach 	Baden-Württemberg
Hauzenberg 	Bayern
Havelberg 	Sachsen-Anhalt
Havelsee 	Brandenburg
Hayingen 	Baden-Württemberg
Hechingen 	Baden-Württemberg
Hecklingen 	Sachsen-Anhalt
Heide 	Schleswig-Holstein
Heideck 	Bayern
Heidelberg 	Baden-Württemberg
Heidenau 	Sachsen
Heidenheim an der Brenz 	Baden-Württ.
Heilbad Heiligenstadt 	Thüringen
Heilbronn 	Baden-Württemberg
Heiligenhafen 	Schleswig-Holstein
Heiligenhaus 	Nordrhein-Westfalen
Heilsbronn 	Bayern
Heimbach 	Nordrhein-Westfalen
Heimsheim 	Baden-Württemberg
Heinsberg 	Nordrhein-Westfalen
Heitersheim 	Baden-Württemberg
Heldrungen 	Thüringen
Helmbrechts 	Bayern
Helmstedt 	Niedersachsen
Hemau 	Bayern
Hemer 	Nordrhein-Westfalen
Hemmingen 	Niedersachsen
Hemmoor 	Niedersachsen
Hemsbach 	Baden-Württemberg
Hennef (Sieg) 	Nordrhein-Westfalen
Hennigsdorf 	Brandenburg
Heppenheim (Bergstraße) 	Hessen
Herbolzheim 	Baden-Württemberg
Herborn 	Hessen
Herbrechtingen 	Baden-Württemberg
Herbstein 	Hessen
Herdecke 	Nordrhein-Westfalen
Herdorf 	Rheinland-Pfalz
Herford 	Nordrhein-Westfalen
Heringen/Helme 	Thüringen
Heringen (Werra) 	Hessen
Hermeskeil 	Rheinland-Pfalz
Hermsdorf 	Thüringen
Herne 	Nordrhein-Westfalen
Herrenberg 	Baden-Württemberg
Herrieden 	Bayern
Herrnhut 	Sachsen
Hersbruck 	Bayern
Herten 	Nordrhein-Westfalen
Herzberg am Harz 	Niedersachsen
Herzberg (Elster) 	Brandenburg
Herzogenaurach 	Bayern
Herzogenrath 	Nordrhein-Westfalen
Hessisch Lichtenau 	Hessen
Hessisch Oldendorf 	Niedersachsen
Hettingen 	Baden-Württemberg
Hettstedt 	Sachsen-Anhalt
Heubach 	Baden-Württemberg
Heusenstamm 	Hessen
Hilchenbach 	Nordrhein-Westfalen
Hildburghausen 	Thüringen
